Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
13420,-6.653535,106.8552092,472.376,19.066,19.12,1573087267720000,168,3
13475,-6.6535428,106.8552147,472.468,19.056,19.09,1573087267775000,168,3
13530,-6.6535505,106.8552203,472.526,18.996,19.08,1573087267830000,168,3
13585,-6.6535581,106.855226,472.59,19.036,19.02,1573087267885000,168,3
13640,-6.6535659,106.8552315,472.68,19.068,19.06,1573087267940000,168,3
13695,-6.6535736,106.8552372,472.769,19.062,19.1,1573087267995000,168,3
13750,-6.6535812,106.8552428,472.836,19.004,19.09,1573087268050000,168,3
13805,-6.6535888,106.8552483,472.857,19.05,19.03,1573087268105000,168,3
13860,-6.6535964,106.8552538,472.877,19.027,19.08,1573087268160000,168,3
13915,-6.6536041,106.8552595,472.967,19.056,19.05,1573087268215000,168,3
13970,-6.6536117,106.8552652,473.019,19.042,19.08,1573087268270000,168,3
14025,-6.6536192,106.8552709,473.066,19.008,19.07,1573087268325000,182,3
14080,-6.6536267,106.8552766,473.135,18.949,19.04,1573087268380000,182,3
14135,-6.6536342,106.8552823,473.204,19.001,18.98,1573087268435000,182,3
14190,-6.6536417,106.8552882,473.267,19.071,19.03,1573087268490000,182,3
14245,-6.6536493,106.8552938,473.308,19.05,19.1,1573087268545000,182,3
14300,-6.6536568,106.8552995,473.328,19.024,19.08,1573087268600000,182,3
14355,-6.6536643,106.8553054,473.388,19.128,19.05,1573087268655000,182,3
14410,-6.6536719,106.8553112,473.456,19.127,19.15,1573087268710000,182,3
14465,-6.6536794,106.8553171,473.522,19.141,19.15,1573087268765000,182,3
14520,-6.653687,106.855323,473.578,19.149,19.17,1573087268820000,182,3
14575,-6.6536945,106.8553288,473.615,19.187,19.18,1573087268875000,182,3
14630,-6.6537021,106.8553347,473.661,19.229,19.21,1573087268930000,182,3
14685,-6.6537095,106.8553406,473.714,19.181,19.26,1573087268985000,182,3
14740,-6.653717,106.8553465,473.805,19.142,19.21,1573087269040000,182,3
14795,-6.6537246,106.8553524,473.889,19.136,19.17,1573087269095000,182,3
14850,-6.6537321,106.8553583,473.902,19.208,19.16,1573087269150000,182,3
14905,-6.6537396,106.8553642,473.944,19.258,19.24,1573087269205000,182,3
14960,-6.6537473,106.8553702,474.031,19.32,19.28,1573087269260000,182,3
15015,-6.6537547,106.8553761,474.061,19.162,19.35,1573087269315000,164,3
15069,-6.6537621,106.8553821,474.101,19.163,19.19,1573087269369000,164,3
15124,-6.6537696,106.8553881,474.178,19.234,19.19,1573087269424000,164,3
15179,-6.6537771,106.8553941,474.199,19.317,19.26,1573087269479000,164,3
15234,-6.6537846,106.8554002,474.266,19.364,19.34,1573087269534000,164,3
15289,-6.6537919,106.8554063,474.313,19.356,19.39,1573087269589000,164,3
15344,-6.6537993,106.8554122,474.327,19.251,19.38,1573087269644000,164,3
15399,-6.6538068,106.8554181,474.368,19.309,19.28,1573087269699000,164,3
15454,-6.6538141,106.8554243,474.409,19.392,19.33,1573087269754000,164,3
15509,-6.6538215,106.8554303,474.426,19.29,19.42,1573087269809000,164,3
15564,-6.6538287,106.8554364,474.424,19.228,19.31,1573087269864000,164,3
15620,-6.6538361,106.8554424,474.439,19.307,19.25,1573087269920000,164,3
15674,-6.6538434,106.8554484,474.43,19.369,19.33,1573087269974000,164,3
15729,-6.6538508,106.8554545,474.448,19.332,19.39,1573087270029000,164,3
15784,-6.6538582,106.8554606,474.495,19.317,19.35,1573087270084000,164,3
15840,-6.6538656,106.8554667,474.54,19.319,19.34,1573087270140000,164,3
15894,-6.6538729,106.8554729,474.598,19.318,19.34,1573087270194000,164,3
15949,-6.6538803,106.8554793,474.66,19.356,19.34,1573087270249000,164,3
16004,-6.6538877,106.8554855,474.723,19.402,19.37,1573087270304000,164,3
16060,-6.653895,106.8554917,474.774,19.381,19.42,1573087270360000,196,3
16115,-6.6539023,106.855498,474.823,19.344,19.4,1573087270415000,196,3
16170,-6.6539096,106.8555042,474.843,19.368,19.36,1573087270470000,196,3
16225,-6.6539168,106.8555106,474.89,19.344,19.39,1573087270525000,196,3
16280,-6.653924,106.8555171,474.984,19.377,19.36,1573087270580000,196,3
16335,-6.6539313,106.8555235,475.05,19.377,19.4,1573087270635000,196,3
16390,-6.6539387,106.8555298,475.097,19.441,19.4,1573087270690000,196,3
16445,-6.6539459,106.8555362,475.135,19.428,19.46,1573087270745000,196,3
16500,-6.6539531,106.8555427,475.185,19.435,19.45,1573087270800000,196,3
16555,-6.6539602,106.8555493,475.234,19.499,19.45,1573087270855000,196,3
16610,-6.6539674,106.8555555,475.259,19.322,19.52,1573087270910000,196,3
16665,-6.6539744,106.855562,475.312,19.361,19.34,1573087270965000,196,3
16720,-6.6539815,106.8555684,475.357,19.315,19.38,1573087271020000,196,3
16775,-6.6539886,106.8555751,475.458,19.364,19.33,1573087271075000,196,3
16830,-6.6539957,106.8555816,475.523,19.378,19.38,1573087271130000,196,3
16885,-6.6540026,106.8555884,475.591,19.379,19.4,1573087271185000,196,3
16940,-6.6540096,106.8555949,475.609,19.386,19.4,1573087271240000,196,3
16995,-6.6540167,106.8556015,475.606,19.461,19.41,1573087271295000,196,3
17050,-6.6540237,106.8556083,475.665,19.549,19.48,1573087271350000,196,3
17105,-6.6540307,106.8556152,475.749,19.535,19.57,1573087271405000,196,3
17160,-6.6540376,106.8556216,475.787,19.325,19.55,1573087271460000,196,3
17215,-6.6540445,106.8556285,475.834,19.422,19.34,1573087271515000,196,3
17270,-6.6540513,106.8556353,475.87,19.405,19.44,1573087271570000,196,3
17325,-6.6540583,106.855642,475.967,19.311,19.42,1573087271625000,196,3
17380,-6.6540652,106.8556487,476.033,19.309,19.33,1573087271680000,196,3
17435,-6.654072,106.8556555,476.069,19.297,19.33,1573087271735000,196,3
17490,-6.6540788,106.8556624,476.151,19.258,19.32,1573087271790000,196,3
17545,-6.6540857,106.8556689,476.159,19.262,19.28,1573087271845000,196,3
17600,-6.6540925,106.8556758,476.25,19.249,19.28,1573087271900000,196,3
17655,-6.6540993,106.8556824,476.26,19.199,19.27,1573087271955000,196,3
17710,-6.6541062,106.855689,476.289,19.186,19.22,1573087272010000,196,3
17765,-6.6541129,106.8556957,476.336,19.191,19.2,1573087272065000,196,3
17820,-6.6541196,106.8557025,476.381,19.171,19.21,1573087272120000,196,3
17875,-6.6541262,106.8557094,476.448,19.132,19.19,1573087272175000,196,3
17930,-6.6541329,106.8557161,476.486,19.102,19.15,1573087272230000,196,3
17985,-6.6541397,106.8557228,476.527,19.091,19.12,1573087272285000,196,3
18040,-6.6541464,106.8557297,476.562,19.187,19.11,1573087272340000,194,3
18098,-6.6541529,106.8557367,476.593,19.207,19.2,1573087272398000,194,3
18156,-6.6541595,106.8557437,476.631,19.226,19.22,1573087272456000,194,3
18214,-6.654166,106.8557508,476.634,19.313,19.24,1573087272514000,194,3
18272,-6.6541726,106.855758,476.659,19.347,19.33,1573087272572000,194,3
18331,-6.654179,106.8557653,476.671,19.42,19.36,1573087272631000,194,3
18389,-6.6541854,106.8557721,476.748,19.244,19.43,1573087272689000,194,3
18447,-6.6541917,106.8557786,476.816,18.952,19.26,1573087272747000,194,3
18505,-6.654198,106.855785,476.903,18.638,18.97,1573087272805000,194,3
18564,-6.6542043,106.855792,476.867,18.83,18.65,1573087272864000,194,3
18622,-6.6542106,106.8557988,476.858,18.821,18.85,1573087272922000,194,3
18680,-6.654217,106.8558057,476.895,18.84,18.84,1573087272980000,194,3
18738,-6.6542232,106.8558122,476.924,18.655,18.85,1573087273038000,194,3
18797,-6.6542294,106.8558186,476.936,18.464,18.67,1573087273097000,194,3
18855,-6.6542356,106.8558248,476.945,18.308,18.48,1573087273155000,194,3
18913,-6.654248,106.8558382,476.968,18.445,18.32,1573087273213000,194,3
18971,-6.6542541,106.8558449,476.93,18.399,18.46,1573087273271000,194,3
19030,-6.6542602,106.8558518,476.983,18.434,18.41,1573087273330000,157,3
19088,-6.6542663,106.8558589,477.003,18.596,18.45,1573087273388000,157,3
19146,-6.6542725,106.8558656,477.023,18.559,18.61,1573087273446000,157,3
19204,-6.6542786,106.8558725,477.074,18.581,18.57,1573087273504000,157,3
19262,-6.6542847,106.8558795,477.124,18.576,18.6,1573087273562000,157,3
19320,-6.6542908,106.8558865,477.123,18.693,18.59,1573087273620000,157,3
19378,-6.6542968,106.8558936,477.14,18.693,18.71,1573087273678000,157,3
19436,-6.654303,106.8559008,477.194,18.858,18.71,1573087273736000,157,3
19494,-6.6543091,106.8559078,477.237,18.805,18.87,1573087273794000,157,3
19552,-6.6543152,106.8559148,477.264,18.715,18.82,1573087273852000,157,3
